,(AO)Percentage SLAs Met,Ageing,Average Resolution Effort - Incidents,Average Resolution Effort - Problems,Backlog Processing Efficiency - Incidents,Backlog Processing Efficiency - Problems,Delivered Defects,clusters,scores,anomaly,warning
118,100,0,0.12,1,1,1,1,0,0.235618525,0,No issues detected
119,100,0,0.12,1,1,1,1,0,0.235618525,0,No issues detected
120,100,0,0.36,3.2,1.07,1.67,0,0,0.227723714,0,No issues detected
121,100,0,0.41,4.25,1.06,2,0,0,0.224364502,0,No issues detected
122,184.62,1,225.35,48.52,-0.6,-2.29,7,0,-0.14246894,1,No issues detected
123,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
124,100,0,0.33,1,1,1,0,0,0.234998342,0,No issues detected
125,100,0,0.33,1,1,1,0,0,0.234998342,0,No issues detected
126,100,5,0.44,15,1,0.67,0,0,0.226500207,0,No issues detected
127,99.12,98.43,198.18,11,1.24,1,0,0,-0.138868598,1,No issues detected
128,100,98.16,81.13,108.58,3.73,1,0,3,-0.144899782,1,No issues detected
129,100,0,2,16,1,1,0,0,0.235352308,0,No issues detected
130,100,0,2,10,1,1,0,0,0.234370124,0,No issues detected
131,100,0,2.11,3,0.97,1,0,0,0.232339797,0,No issues detected
132,100,0,2.11,3,0.95,1,0,0,0.231289118,0,No issues detected
133,100,0,7.36,7.36,1,1,5,0,0.225101796,0,No issues detected
134,100,0,0.01,0.1,0.89,1,0,0,0.234269658,0,No issues detected
135,100,0,0.01,1,0.97,1,0,0,0.235310321,0,No issues detected
136,100,0,2.64,15.53,1.08,1,0,0,0.234716613,0,No issues detected
137,100,99.01,220.25,11,4.77,1,0,0,-0.163197497,1,No issues detected
138,62.5,22,0.67,2.26,-3.09,0.85,23,0,-0.039096651,1,No issues detected
139,100,0,2.47,16.18,1.08,1,0,0,0.234115377,0,No issues detected
140,100,0,2.92,16.5,1.08,1,0,0,0.233835077,0,No issues detected
141,100,0,2.97,1.42,1,1,0,0,0.234081165,0,No issues detected
142,100,0,2.21,0,1,1,0,0,0.23533522,0,No issues detected
143,100,15,0.22,15,1,2,0,0,0.190930575,0,No issues detected
144,100,39,0.24,10,1,3,0,0,0.140114028,0,No issues detected
145,48.39,35,6.64,0.95,1.03,-0.11,33,0,-0.078097536,1,No issues detected
146,100,0,4.13,1,1,1,0,0,0.235306684,0,No issues detected
147,100,0,4.23,1,1,1,0,0,0.235306684,0,No issues detected
148,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
149,99.77,21,6.5,28.47,1.2,-0.34,0,0,0.171625753,0,No issues detected
150,100,5,5.23,39.64,1.01,1.06,0,0,0.224948367,0,No issues detected
151,100,0,1.8,1,1,1,0,0,0.235345976,0,No issues detected
152,100,0,1.83,10.67,1,1,0,0,0.234672557,0,No issues detected
153,100,0,0.22,40.63,1.06,5.33,0,0,0.188664059,0,No issues detected
154,100,0,0.29,97.9,1.1,2.33,0,0,0.183904519,0,No issues detected
155,100,0,2.11,4,0.98,1,0,0,0.234841685,0,No issues detected
156,100,0,0,0,1,5.67,0,0,0.185133466,0,No issues detected
157,100,0,4.79,14.88,1.03,1,0,0,0.233951906,0,No issues detected
158,100,0,0.12,1,1,1,1,0,0.235618525,0,No issues detected
159,100,0,7.5,1.6,0.96,0.91,0,0,0.231318964,0,No issues detected
160,98.11,0,0,0,0.7,0.33,0,0,0.216903708,0,No issues detected
161,100,12,5.76,11.73,1.13,1.1,0,0,0.2124568,0,No issues detected
162,100,0,7.95,1.64,0.92,1.1,0,0,0.22958919,0,No issues detected
163,100,0,0.68,7.7,1,1,0,0,0.233062652,0,No issues detected
164,100,0,6.29,24,1,1,0,0,0.230981317,0,No issues detected
165,100,0,7.92,8,0.85,1,0,0,0.231760178,0,No issues detected
166,100,0,6.19,25.4,1.09,1,0,0,0.230290897,0,No issues detected
167,93.02,0,16.52,5.63,1.92,1.31,0,0,0.173510571,0,No issues detected
168,100,13,2.99,95.43,1.06,-1.75,0,0,0.135597402,0,No issues detected
169,100,0,9.61,3.15,1,1.02,0,0,0.231559681,0,No issues detected
170,100,0,4.43,13.83,1.05,1,0,0,0.234565566,0,No issues detected
171,100,0,2.92,48,1,2,0,0,0.21951272,0,No issues detected
172,100,0,4.25,4.25,1,1,0,0,0.234826898,0,No issues detected
173,100,0,6.29,24,1.1,1,0,0,0.230981317,0,No issues detected
